topic_id,like_count,reply_count,engagement_score,created_at
19600,0,0,0,2024-12-31 03:10:16.829
19599,1,2,3,2024-12-31 03:09:04.754
19577,0,0,0,2024-12-29 23:14:23.523
19576,3,0,3,2024-12-29 23:14:21.148
19575,3,6,9,2024-12-29 23:14:17.961
19574,6,6,12,2024-12-29 23:14:15.158
19572,0,0,0,2024-12-29 23:12:48.953
19533,9,3,12,2024-12-27 03:43:33.896
19531,4,5,9,2024-12-26 03:02:23.180
19529,1,2,3,2024-12-26 03:01:49.428
19520,0,0,0,2024-12-25 03:26:02.057
19500,0,1,1,2024-12-23 01:12:09.996
19483,7,4,11,2024-12-22 00:47:13.468
19482,2,3,5,2024-12-22 00:47:02.986
19481,1,0,1,2024-12-22 00:46:55.735
19480,4,0,4,2024-12-22 00:46:34.033
19466,0,0,0,2024-12-21 00:49:50.100
19457,2,0,2,2024-12-20 01:21:06.392
19454,3,0,3,2024-12-19 13:16:08.068
19450,0,0,0,2024-12-19 00:05:38.286
19449,1,0,1,2024-12-19 00:05:36.180
19448,5,1,6,2024-12-19 00:05:33.446
19437,0,0,0,2024-12-17 02:14:10.434
19436,0,3,3,2024-12-17 02:13:10.700
19420,0,0,0,2024-12-16 01:29:56.548
19398,3,1,4,2024-12-13 01:06:08.782
19397,4,1,5,2024-12-13 01:05:29.713
19396,1,0,1,2024-12-13 01:04:55.091
19395,1,2,3,2024-12-13 01:04:48.994
19371,6,4,10,2024-12-12 00:26:04.107
19370,3,0,3,2024-12-12 00:26:02.135
19369,11,3,14,2024-12-12 00:25:53.270
19368,8,2,10,2024-12-12 00:25:49.237
19338,2,1,3,2024-12-10 03:55:31.539
19326,2,0,2,2024-12-09 08:03:58.600
19322,0,0,0,2024-12-09 00:25:14.872
19321,0,0,0,2024-12-09 00:25:12.980
19315,0,0,0,2024-12-08 12:51:22.350
19310,0,0,0,2024-12-08 02:04:31.945
19307,1,0,1,2024-12-07 07:42:19.548
19306,1,0,1,2024-12-07 07:42:15.944
19305,0,0,0,2024-12-07 07:42:14.181
19287,4,4,8,2024-12-06 02:59:23.110
19276,0,0,0,2024-12-05 01:52:48.233
19275,4,3,7,2024-12-05 01:52:31.077
19274,1,0,1,2024-12-05 01:52:21.833
19267,1,0,1,2024-12-04 00:44:57.931
19266,0,1,1,2024-12-04 00:44:54.922
19257,0,0,0,2024-12-03 02:21:20.943
19234,0,3,3,2024-12-02 00:58:35.157
19233,0,2,2,2024-12-02 00:58:32.710
19216,6,1,7,2024-12-01 01:41:37.597
19204,3,0,3,2024-11-30 02:17:49.030
19203,4,0,4,2024-11-30 02:17:47.328
19196,0,0,0,2024-11-29 02:20:04.527
19195,7,1,8,2024-11-29 02:19:44.429
19194,7,2,9,2024-11-29 02:19:40.775
19179,1,0,1,2024-11-28 02:11:24.479
19178,2,0,2,2024-11-28 02:11:21.273
19167,2,2,4,2024-11-27 01:38:34.534
19158,1,0,1,2024-11-26 06:53:21.673
19134,0,3,3,2024-11-25 05:56:22.779
19133,0,0,0,2024-11-25 05:56:21.297
19123,1,0,1,2024-11-25 00:03:22.881
19122,0,0,0,2024-11-25 00:03:20.638
19121,1,0,1,2024-11-25 00:03:17.638
19120,0,0,0,2024-11-25 00:03:15.275
19119,2,0,2,2024-11-25 00:03:13.009
19117,2,2,4,2024-11-25 00:03:03.090
19091,0,0,0,2024-11-23 02:21:55.688
19090,0,0,0,2024-11-23 02:21:53.435
19078,9,9,18,2024-11-22 07:53:08.775
19037,12,4,16,2024-11-19 02:37:39.790
19008,1,0,1,2024-11-18 00:22:25.654
18987,4,0,4,2024-11-16 02:14:06.681
18963,5,2,7,2024-11-14 04:59:20.331
18959,11,6,17,2024-11-14 01:48:35.004
18903,4,0,4,2024-11-12 01:38:50.240
18902,0,0,0,2024-11-12 01:38:44.023
18753,1,0,1,2024-11-09 02:51:29.327
18752,1,0,1,2024-11-09 02:51:23.095
18751,4,1,5,2024-11-09 02:51:19.686
18724,2,1,3,2024-11-08 02:06:13.777
18709,8,3,11,2024-11-07 00:52:03.861
18708,4,0,4,2024-11-07 00:52:01.255
18707,3,0,3,2024-11-07 00:51:55.097
18683,5,0,5,2024-11-06 00:41:55.085
18682,7,0,7,2024-11-06 00:41:46.035
18681,5,3,8,2024-11-06 00:41:37.018
18680,1,0,1,2024-11-06 00:41:30.680
18667,0,0,0,2024-11-05 03:15:29.581
18666,0,1,1,2024-11-05 03:15:26.896
18664,5,1,6,2024-11-05 01:26:54.366
18663,1,0,1,2024-11-05 01:26:52.893
18662,3,0,3,2024-11-05 01:26:48.777
18661,0,0,0,2024-11-05 01:26:45.620
18660,0,0,0,2024-11-05 01:26:38.971
18659,0,0,0,2024-11-05 01:26:35.232
18658,0,0,0,2024-11-05 01:26:33.556
18627,0,0,0,2024-11-04 00:50:48.471
18626,0,0,0,2024-11-04 00:50:45.306
18617,0,2,2,2024-11-03 05:01:59.592
18600,0,0,0,2024-11-02 02:49:38.185
18348,0,0,0,2024-11-01 02:22:24.406
18347,0,3,3,2024-11-01 02:22:21.993
18346,1,0,1,2024-11-01 02:22:18.036
18115,1,0,1,2024-10-30 01:02:00.531
18114,0,2,2,2024-10-30 01:01:58.753
18052,0,0,0,2024-10-29 02:21:11.666
17916,0,3,3,2024-10-28 02:48:04.523
17915,1,0,1,2024-10-28 02:48:01.385
17914,2,0,2,2024-10-28 02:47:49.579
17877,0,0,0,2024-10-27 02:07:10.139
17866,0,3,3,2024-10-26 03:51:21.403
17827,3,2,5,2024-10-25 06:39:26.961
17602,0,0,0,2024-10-23 00:35:49.493
17553,2,0,2,2024-10-22 02:01:01.628
17487,4,3,7,2024-10-21 00:53:31.845
17486,0,0,0,2024-10-21 00:53:30.019
17462,0,0,0,2024-10-20 03:59:45.326
17461,0,0,0,2024-10-20 03:59:41.515
17460,0,0,0,2024-10-20 03:59:32.464
17459,0,0,0,2024-10-20 03:59:23.962
17448,1,0,1,2024-10-19 03:51:48.767
17447,0,1,1,2024-10-19 03:51:21.073
17446,1,0,1,2024-10-19 03:50:41.468
17445,1,0,1,2024-10-19 03:50:38.711
17444,0,0,0,2024-10-19 03:50:34.878
17302,0,0,0,2024-10-18 02:33:37.361
17301,0,0,0,2024-10-18 02:33:34.930
17216,1,2,3,2024-10-17 07:39:54.150
17057,1,0,1,2024-10-17 02:10:47.529
17056,1,0,1,2024-10-17 02:10:44.408
17055,6,2,8,2024-10-17 02:10:41.522
17054,3,2,5,2024-10-17 02:10:32.849
17028,2,0,2,2024-10-16 00:38:55.771
16995,1,0,1,2024-10-15 05:42:42.908
16982,3,0,3,2024-10-15 02:13:56.039
16981,0,0,0,2024-10-15 02:13:54.152
16980,0,0,0,2024-10-15 02:13:51.259
16979,0,1,1,2024-10-15 02:13:48.680
16978,3,0,3,2024-10-15 02:13:44.327
16939,0,0,0,2024-10-14 06:05:56.427
16929,0,0,0,2024-10-14 01:17:23.770
16928,1,0,1,2024-10-14 01:17:21.392
16927,0,0,0,2024-10-14 01:17:17.130
16905,0,0,0,2024-10-13 02:34:10.572
16904,0,0,0,2024-10-13 02:34:06.419
16824,0,0,0,2024-10-12 01:37:33.004
16823,0,0,0,2024-10-12 01:37:27.779
16822,0,2,2,2024-10-12 01:37:24.651
16795,1,1,2,2024-10-11 00:30:15.804
16793,2,0,2,2024-10-11 00:30:06.111
16704,1,0,1,2024-10-10 01:59:19.085
16703,2,0,2,2024-10-10 01:59:06.068
16678,2,0,2,2024-10-09 01:01:50.063
16677,3,2,5,2024-10-09 01:01:46.101
16658,0,0,0,2024-10-08 01:32:39.262
16657,1,0,1,2024-10-08 01:32:36.356
16656,0,0,0,2024-10-08 01:32:32.481
16629,1,0,1,2024-10-07 01:42:57.259
16628,1,0,1,2024-10-07 01:42:54.652
16560,0,0,0,2024-10-04 02:03:16.101
16559,0,0,0,2024-10-04 02:03:13.620
16558,5,5,10,2024-10-04 02:03:10.568
16538,4,0,4,2024-10-03 01:51:43.733
16532,1,17,18,2024-10-02 09:19:17.294
